pca_1,pca_2,category,split,sample_id,window_start
-1.0155918598175049,0.23145385086536407,Local Perturbation,Training support,ep0015_start0038_seed0004,0
-1.0550113916397095,0.1598568856716156,Local Perturbation,Training support,ep0037_start0057_seed0000,0
-1.2978113889694214,0.5043900012969971,Local Perturbation,Training support,ep0037_start0091_seed0004,1
0.7834922075271606,0.5500306487083435,Local Perturbation,Training support,ep0000_start0036_seed0001,1
0.8735434412956238,0.9437206387519836,Local Perturbation,Training support,ep0017_start0096_seed0001,1
0.8443920016288757,0.7213849425315857,Local Perturbation,Training support,ep0048_start0042_seed0001,0
-0.9489492774009705,0.1653178632259369,Local Perturbation,Training support,ep0047_start0044_seed0001,0
-1.006977915763855,0.19404906034469604,Local Perturbation,Training support,ep0032_start0044_seed0000,0
-0.9144777059555054,0.2084757685661316,Local Perturbation,Training support,ep0042_start0032_seed0004,1
0.7935386300086975,0.6046624183654785,Local Perturbation,Training support,ep0001_start0038_seed0004,1
0.9868508577346802,1.0290298461914062,Local Perturbation,Training support,ep0013_start0071_seed0003,1
0.7796054482460022,0.5894684791564941,Local Perturbation,Training support,ep0009_start0029_seed0001,1
0.7557669878005981,0.5766611695289612,Local Perturbation,Training support,ep0021_start0030_seed0001,1
0.826541543006897,0.7140238881111145,Local Perturbation,Training support,ep0035_start0106_seed0001,0
0.34959447383880615,-0.8061513304710388,Policy Rollout,Training support,s00_seed00100001_ep0000,0
-0.0930166244506836,-0.40595385432243347,Policy Rollout,Training support,s00_seed00100001_ep0000,8
-0.8521523475646973,0.37259238958358765,Policy Rollout,Training support,s00_seed00100001_ep0000,16
-1.10249924659729,0.4913482964038849,Policy Rollout,Training support,s00_seed00100001_ep0000,25
-0.9139648675918579,0.1696193814277649,Policy Rollout,Training support,s00_seed00100001_ep0000,33
-0.9695814251899719,0.20964358747005463,Policy Rollout,Training support,s00_seed00100001_ep0000,41
-0.9823174476623535,0.19896478950977325,Policy Rollout,Training support,s00_seed00100001_ep0000,49
-1.0937204360961914,0.23372520506381989,Policy Rollout,Training support,s00_seed00100001_ep0000,58
-1.3796977996826172,0.38900989294052124,Policy Rollout,Training support,s00_seed00100001_ep0000,66
-1.4728721380233765,0.5017826557159424,Policy Rollout,Training support,s00_seed00100001_ep0000,74
-0.06968629360198975,-0.7410382032394409,Policy Rollout,Training support,s00_seed00100008_ep0004,0
0.332570880651474,-0.08367594331502914,Policy Rollout,Training support,s00_seed00100008_ep0004,12
0.780398428440094,0.8260445594787598,Policy Rollout,Training support,s00_seed00100008_ep0004,23
0.772611141204834,0.5911926627159119,Policy Rollout,Training support,s00_seed00100008_ep0004,35
0.7236717939376831,0.5695669651031494,Policy Rollout,Training support,s00_seed00100008_ep0004,47
0.7710031867027283,0.6068606376647949,Policy Rollout,Training support,s00_seed00100008_ep0004,58
0.7967241406440735,0.667469322681427,Policy Rollout,Training support,s00_seed00100008_ep0004,70
0.8856832385063171,0.8674200773239136,Policy Rollout,Training support,s00_seed00100008_ep0004,82
0.8572646975517273,0.5809674859046936,Policy Rollout,Training support,s00_seed00100008_ep0004,93
0.9268333315849304,0.891684353351593,Policy Rollout,Training support,s00_seed00100008_ep0004,105
0.36793363094329834,-0.8177556991577148,Policy Rollout,Training support,s00_seed00100010_ep0005,0
-0.09186221659183502,-0.41178297996520996,Policy Rollout,Training support,s00_seed00100010_ep0005,8
-0.8494332432746887,0.32925620675086975,Policy Rollout,Training support,s00_seed00100010_ep0005,16
-1.2415937185287476,0.6081952452659607,Policy Rollout,Training support,s00_seed00100010_ep0005,24
-1.0024117231369019,0.18991339206695557,Policy Rollout,Training support,s00_seed00100010_ep0005,32
-1.0229612588882446,0.2150813490152359,Policy Rollout,Training support,s00_seed00100010_ep0005,41
-1.0838860273361206,0.2295529544353485,Policy Rollout,Training support,s00_seed00100010_ep0005,49
-1.355668067932129,0.33452069759368896,Policy Rollout,Training support,s00_seed00100010_ep0005,57
